Symbol,Market_Cap,Orgname,State
AAL,15480154360,American Airlines Group,Texas
AAPL,2.13E+12,Apple Inc,California
ABBV,1.85E+11,AbbVie Inc,Illinois
ABC,23121559643,AmerisourceBergen Corp,Pennsylvania
ABNB,1.19E+11,Airbnb Inc,California
ABT,2.08E+11,Abbott Laboratories,Illinois
AC,807557811,Associated Builders & Contractors,Connecticut
ACGL,15104984022,Capital Group,Pembroke
ACGLO,0,Capital Group,Pembroke
ACGLP,0,Capital Group,Pembroke
ACHC,5247124018,Acadia Healthcare,Tennessee
ADBE,2.15E+11,Adobe Inc,California
ADP,80386430626,Automatic Data Processing Inc,New Jersey
AEE,19916244804,Ameren Corp,Missouri
AEP,41486166669,American Electric Power,Ohio
AEPPL,0,American Electric Power,Ohio
AEPPZ,0,American Electric Power,Ohio
AFG,10068972091,American Financial Group,Ohio
AFGB,0,American Financial Group,Ohio
AFGC,26568357,American Financial Group,Ohio
AFGD,0,American Financial Group,Ohio
AFGE,0,American Financial Group,Ohio
AFL,35200571683,AFLAC Inc,Georgia
AFT,232817262,Apollo,New York
AHT,238519518,Ashford Hospitality Trust,None
AHT^D,0,Ashford Hospitality Trust,None
AHT^F,0,Ashford Hospitality Trust,None
AHT^G,0,Ashford Hospitality Trust,None
AHT^H,0,Ashford Hospitality Trust,None
AHT^I,0,Ashford Hospitality Trust,None
AIF,214074817,Apollo,New York
AINV,965183213,Apollo,New York
AIR,1530981536,AAR Corp,Illinois
ALE,3673440595,Allete Inc,Minnesota
ALK,8725662055,Alaska Air Group,Washington
ALLY,17114767064,Ally Financial,Michigan
ALSN,4764377285,Allison Transmission,Indiana
AMED,8645737570,Amedisys Inc,Louisiana
AMEH,1130394199,Apollo,California
AMG,6266756769,Affiliated Managers Group,Florida
AMGN,1.4E+11,Amgen Inc,California
AMZN,1.56E+12,Amazon.com,Washington
APEN,162658882,Apollo,California
APO,11162939036,Apollo Global Management,New York
APO^A,0,Apollo Global Management,None
APO^B,0,Apollo Global Management,None
APSG,1042759350,Apollo,None
APXT,582399200,Apex,None
APXTU,0,Apex,None
APXTW,0,Apex,None
AR,2984788242,Antero Resources,Colorado
ARES,8162610387,Ares Management,California
ARES^A,0,Ares Management,None
ARI,2052981485,Apollo,New York
ARLP,736460318,Alliance Resource Partners,Oklahoma
ARW,8096688877,Electronics Inc,Colorado
ATGE,2019686438,Adtalem Global Education,Illinois
AZN,1.29E+11,AstraZeneca PLC,Cambridgeshire
AZO,28825255690,AutoZone Inc,Tennessee
BA,1.49E+11,Boeing Co,Illinois
BAC,3.23E+11,Bank of America,North Carolina
BAC^A,0,Bank of America,None
BAC^B,0,Bank of America,None
BAC^E,0,Bank of America,None
BAC^K,0,Bank of America,None
BAC^L,0,Bank of America,None
BAC^M,0,Bank of America,None
BAC^N,0,Bank of America,None
BAC^O,0,Bank of America,None
BAC^P,0,Bank of America,None
BAM,66997632987,Brookfield Asset Management,Ontario
BATRA,1657453202,Liberty Media Corp,Colorado
BATRK,1610457192,Liberty Media Corp,Colorado
BBY,28626353389,Best Buy,Minnesota
BC,7915525588,Brunswick Corp,Illinois
BC^A,0,Brunswick Corp,None
BC^B,0,Brunswick Corp,None
BC^C,0,Brunswick Corp,None
BCS,43514658819,Barclays,London
BCSF,988448277,Bain Capital,Massachusetts
BEN,15035761622,Franklin Resources,California
BHE,1140659071,Electronics Inc,Arizona
BKR,24230818322,Baker,Texas
BKT,385666301,BlackRock Inc,Delaware
BLK,1.1E+11,BlackRock Inc,New York
BLL,27408106565,Ball Corp,Colorado
BML^G,0,Bank of America,None
BML^H,0,Bank of America,None
